Table: Table_1

,,Quantity ,Unit Price ,Total ,
No. 1. ,Product Raspberry Pi Zero W Code: RPI-ZERO-W C.O.O. H.S. Code U.K. 8471.50.0150 ,1 ,S$16.43 ,S$16.43 S$55.99 ,
2. ,Raspberry Pi 3 Model B+ Code: RASPBERRY-PI-3B+ C.O.O. H.S. Code ,1 ,S$55.99 ,,
,U.K. 8471.50.0150 ,,,,





Table: Table_2

Sub-Total : ,S$72.42 ,
Fedex IP, 1-3 Working Days, Free Shipping (0.11kg) : ,S$0.00 ,
Total : ,S$72.42 ,





